Texto, Usuario, Fecha_creacion
RT @Hoosiers1986: Democrats are using COVID to destroy churches &amp; small businesses<coma> the absolute BACKBONE of America.  Why would they do th…,@ReporterStarr,Fri Aug 21 21:28:35 +0000 2020
RT @etupito: Queremos de una buena vez por todas un país para los trabajadores<coma>  con fábricas andando<coma> con una moneda fuerte<coma> con educación…,@EmmaCarp23,Fri Aug 21 21:28:35 +0000 2020
Hoy soñé que me contagiaba otra vez de covid 19 y que esta vez me moría<coma> sin haber hecho cosas que me hubiera gustado hacer. 😞,@Feerpl,Fri Aug 21 21:28:35 +0000 2020
RT @GobiernoMorelos: Información importante sobre la situación del COVID-19 en Morelos al día viernes 21 de agosto de 2020.  Gracias por ac…,@ineeamorelos,Fri Aug 21 21:28:35 +0000 2020
Sin contagios por Covid-19 en 22 municipios de la Costa<coma> Oaxaca  #Entérate en #Oaxaca #Costa ||De 55 municipios de… https://t.co/ljqjSJ32b5,@VivoNoticiasMX,Fri Aug 21 21:28:35 +0000 2020
RT @AlanRMacLeod: A representative of ICE has just told me that 89% of detainees at for-profit prison ICA Farmville (Virginia) have COVID-19,@blackcardamom,Fri Aug 21 21:28:36 +0000 2020
If you didn’t think Kansas is taking COVID seriously<coma> there’s a 65 top coming into my job for a dinner party tonight,@alotofasean,Fri Aug 21 21:28:36 +0000 2020
RT @Mippcivzla: #EnVivo 🔴 | Vicepdta. @drodriven2: Aquí estamos con el Consejo Científico con propuestas de tratamientos alternativos y nue…,@Dgpgobtrujillo,Fri Aug 21 21:28:36 +0000 2020
RT @PicchioRocca: @Acidelius Scenetta a un mercato lombardo rionale di paese: signore sulla sessantina dice di aver rifiutato invito del fi…,@finnycella,Fri Aug 21 21:28:36 +0000 2020
RT @ASlavitt: BREAKING: White House takes away FDA authority to regulate COVID tests. It’s August<coma> de-regulating &amp; politically meddling are…,@pickylife,Fri Aug 21 21:28:36 +0000 2020
RT @bbcbrasil: #ATUALIZAÇÃO Brasil registra 30<coma>3 mil novos casos de covid-19 e 1.054 óbitos em 24 horas https://t.co/B9so2KeJ3s,@spookyalm,Fri Aug 21 21:28:36 +0000 2020
¡ Son unos psicópatas asesinos... Es un Gobierno criminal... !,@ARANDA_SCHMIDT_,Fri Aug 21 21:28:36 +0000 2020
RT @VTVcanal8: #EnVideo 📹| 15 años de la firma del Compromiso de Sandino<coma> entre comandantes Fidel Castro y Hugo Chávez<coma> que hizo posible el…,@platilloblanco,Fri Aug 21 21:28:36 +0000 2020
@Edd_Campe 3 mese en cuarentena aprox y casi sin infectados<coma> lloraban por reactivar la "ECONOMÍA" Y vámonos pura 🍆<coma>… https://t.co/ikI2aROkH8,@Roberlaaa,Fri Aug 21 21:28:36 +0000 2020
RT @ClaudiaLopez: Esta semana es la primera vez desde Junio que el Hospital de Kennedy tiene una ocupación por debajo del 100%  La presión…,@LuceroLuceroam,Fri Aug 21 21:28:36 +0000 2020
RT @ClaudioSeganti1: Se con la scusa covid il governo ci rimetterà in louckdoun x evitare votazioni<coma> siete disposti a scatenare...l'inferno…,@WillyFilippo,Fri Aug 21 21:28:36 +0000 2020
RT @queerterpreter: @Sra_Cigarra @subetealanutria Ay<coma> os dejo DATOS AL RESPECTO. Ya está documentado que si una mujer da la orden de llevar…,@Marmota_Maligna,Fri Aug 21 21:28:36 +0000 2020
RT @Macro_PY: La EPCH 2do trim. da cuenta de la crudeza del shock del COVID-19 en el mercado de trabajo<coma> impresiona la caída de 11<coma>7% anual…,@pipo_32,Fri Aug 21 21:28:36 +0000 2020
RT @alesilva_38: O covidão vem aí! https://t.co/NSjzwOd4Bc,@Dinuza3Dinuza,Fri Aug 21 21:28:36 +0000 2020
A seemingly harmless get-together led to Will Galvez’s serious COVID-19 experience. ➡️ https://t.co/hU24dTsPE3 https://t.co/q1zjBYkxBH,@sharphealthcare,Fri Aug 21 21:28:36 +0000 2020
RT @lightstairs_: bro no one wanted another season of riverdale but we got one and now you‘re out there cancelling #thesociety? #thesociety…,@sleepinglish,Fri Aug 21 21:28:36 +0000 2020
