MUNICIPIO,LATITUD,LONGITUD
ACONCHI,29.82542,-110.20840
AGUA PRIETA,31.330048,-109.54904
ALAMOS,27.02682,-108.92560
ALTAR,30.71507,-111.82135
ARIVECHI,29.07853,-109.19583
ARIZPE,30.40764,-110.16475
ATIL,30.88421,-111.58278
BACADEHUACHI,29.81189,-109.14079
BACANORA,28.98597,-109.40040
BACERAC,30.50449,-108.92401
BACOACHI,30.63380,-109.96839
BACUM,27.55286,-110.08210
BANAMICHI,30.00947,-110.21337
BAVIACORA,29.71299,-110.16157
BAVISPE,30.48026,-108.94049
BENITO JUAREZ,27.11670,-109.83330
BENJAMIN HILL,30.16931,-111.11505
CABORCA,30.71449,-112.16109
CAJEME,27.49740,-109.91124
CANANEA,30.98994,-110.28917
CARBO,29.68442,-110.95618
CUCURPE,30.33173,-110.70133
CUMPAS,29.99502,-109.78039
DIVISADEROS,29.61444,-109.47009
EMPALME,27.96663,-110.81365
ETCHOJOA,26.91144,-109.62670
FRONTERAS,30.89702,-109.55865
GENERAL PLUTARCO ELIAS CALLES,31.86326,-112.84874
GRANADOS,29.86160,-109.31043
GUAYMAS,27.91789,-110.90893
HERMOSILLO,29.08919,-110.96133
HUACHINERA,30.20794,-108.95996
HUASABAS,29.90736,-109.29999
HUATABAMPO,26.82725,-109.64194
HUEPAC,29.91104,-110.21354
IMURIS,30.78964,-110.84494
LA COLORADA,28.80284,-110.57940
MAGDALENA,30.62503,-110.97140
MAZATAN,29.00560,-110.13700
MOCTEZUMA,29.80350,-109.68000
NACO,31.32620,-109.94708
NACORI CHICO,29.68773,-108.98083
NACOZARI DE GARCIA,30.37552,-109.68863
NAVOJOA,27.07324,-109.44374
NOGALES,31.30181,-110.93845
ONAVAS,28.46095,-109.52851
OPODEPE,29.92586,-110.62849
OQUITOA,30.74167,-111.73361
PITIQUITO,30.67809,-112.05486
PUERTO PEÑASCO,31.32707,-113.53669
QUIRIEGO,27.52072,-109.25315
RAYON,29.71310,-110.57000
ROSARIO,27.84400,-109.37100
SAHUARIPA,29.05430,-109.23341
SAN FELIPE DE JESUS,29.85870,-110.24003
SAN IGNACIO RIO MUERTO,27.41243,-110.24458
SAN JAVIER,28.59549,-109.74068
SAN LUIS RIO COLORADO,32.45286,-114.77179
SAN MIGUEL DE HORCASITAS,29.48736,-110.72502
SAN PEDRO DE LA CUEVA,29.28731,-109.73626
SANTA ANA,30.53980,-111.12000
SANTA CRUZ,31.23245,-110.59625
SARIC,31.10401,-111.37884
SOYOPA,28.76394,-109.63515
SUAQUI GRANDE,28.39541,-109.88914
TEPACHE,29.53255,-109.53106
TRINCHERAS,30.39699,-111.52799
TUBUTAMA,30.88421,-111.46261
URES,29.42618,-110.38611
VILLA HIDALGO,30.16073,-109.32056
VILLA PESQUEIRA,29.11796,-109.96711
YECORA,28.37175,-108.92698
